lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32,chi
# Adaptation terminated
# Step size = 0.050426
# Diagonal elements of inverse mass matrix:
# 0.00807833, 84.0001, 2.41231
-8.24983,0.948915,0.050426,4,23,0,10.4204,0.334439,76.6622,-0.533957,0.334439,76.6622,-0.533957,72.9635,72.9169,73.0569,73.6988,73.8585,74.2556,74.2769,76.0824,76.387,78.8858,79.9929,80.827,80.8441,81.9186,82.8297,84.0145,84.4188,84.5022,90.5313,95.7664,100.315,102.418,109.107,109.476,110.961,121.633,144.263,150.053,156.351,166.012,188.279,211.273,16.0482
-7.77544,0.990875,0.050426,5,35,0,8.8115,0.306392,68.7197,0.0925366,0.306392,68.7197,0.0925366,71.9378,72.7649,74.0182,76.1615,76.5559,77.4423,77.4869,80.7062,81.1811,84.7118,86.1379,87.1748,87.1956,88.4919,89.5624,90.9213,91.3775,91.4713,97.937,103.219,107.653,109.667,115.959,116.301,117.678,127.421,147.563,152.649,158.163,166.586,185.898,205.745,15.5342
-7.61004,0.886306,0.050426,4,27,0,9.73657,0.299895,68.2093,-0.0212985,0.299895,68.2093,-0.0212985,70.2731,70.9357,71.9699,73.7958,74.1376,74.9111,74.9503,77.8102,78.2373,81.4451,82.7543,83.71,83.7293,84.9285,85.9222,87.1875,87.6132,87.7007,93.7758,98.7832,103.009,104.935,110.968,111.297,112.621,122.017,141.544,146.49,151.857,160.065,178.913,198.315,15.188
-7.73902,0.996573,0.050426,5,35,0,8.42023,0.29347,65.3251,0.208456,0.29347,65.3251,0.208456,69.2595,70.1459,71.4613,73.6598,74.0592,74.9522,74.9971,78.1979,78.6656,82.1176,83.5014,84.5043,84.5244,85.775,86.8052,88.1102,88.5477,88.6375,94.8067,99.8155,104.005,105.904,111.825,112.147,113.44,122.579,141.411,146.158,151.302,159.157,177.152,195.634,15.2589
-7.46918,0.996963,0.050426,4,31,0,8.13517,0.319757,66.5489,0.0540414,0.319757,66.5489,0.0540414,69.4266,70.2118,71.4114,73.4808,73.8634,74.7248,74.7682,77.9109,78.3759,81.8413,83.2443,84.2651,84.2857,85.5629,86.6184,87.959,88.4093,88.5019,94.8908,100.117,104.507,106.502,112.736,113.075,114.439,124.096,144.063,149.104,154.569,162.918,182.057,201.722,14.8177
-8.72115,0.988759,0.050426,4,25,0,9.62197,0.415361,63.0353,0.0222555,0.415361,63.0353,0.0222555,66.1794,67.0841,68.4726,70.8756,71.3201,72.321,72.3715,76.0193,76.5582,80.5659,82.1838,83.3594,83.3831,84.8519,86.0639,87.6014,88.1172,88.2232,95.5141,101.444,106.403,108.651,115.654,116.035,117.563,128.348,150.496,156.064,162.09,171.28,192.285,213.8,16.904
-7.51501,0.999901,0.050426,5,47,0,9.40598,0.353284,69.062,-0.179027,0.353284,69.062,-0.179027,69.732,70.2779,71.1895,72.9062,73.238,73.9981,74.0369,76.9308,77.3713,80.7275,82.1161,83.1352,83.1558,84.4401,85.5082,86.8731,87.3333,87.428,94.0415,99.535,104.19,106.314,112.983,113.347,114.811,125.219,146.867,152.35,158.298,167.393,188.263,209.727,15.0095
-7.71079,0.999086,0.050426,4,19,0,7.82221,0.37023,68.992,-0.209083,0.37023,68.992,-0.209083,69.3318,69.8538,70.7429,72.4466,72.7786,73.5413,73.5803,76.5042,76.9512,80.3672,81.7845,82.8257,82.8468,84.1601,85.2531,86.6506,87.122,87.219,94.0008,99.6403,104.42,106.603,113.453,113.826,115.331,126.02,148.245,153.871,159.974,169.303,190.705,212.704,15.3912
-7.85227,0.76819,0.050426,2,3,0,9.41332,0.366273,68.8321,-0.0838689,0.366273,68.8321,-0.0838689,70.642,71.3563,72.4935,74.5391,74.9255,75.8028,75.8474,79.1146,79.6046,83.2949,84.804,85.9063,85.9285,87.3122,88.4588,89.9191,90.4104,90.5114,97.5186,103.285,108.144,110.355,117.274,117.651,119.167,129.906,152.131,157.743,163.827,173.12,194.415,216.284,15.6733
-7.68091,0.989442,0.050426,6,63,0,8.15581,0.292586,66.4495,0.257543,0.292586,66.4495,0.257543,70.8658,71.8202,73.2266,75.5574,75.9788,76.9193,76.9665,80.3202,80.8084,84.4012,85.8369,86.8761,86.897,88.1913,89.2565,90.6045,91.0561,91.1489,97.5034,102.648,106.944,108.889,114.949,115.278,116.6,125.936,145.142,149.979,155.218,163.215,181.528,200.326,15.2349
