# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = cmb3_model
# start_datetime = 2023-07-27 10:33:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = Meu_Codigo_Normal_Model/CMB/data/cmb.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmphxu43met/hsfotjd6.json
# random
#   seed = 22372
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/normal/cmb/cmb3-20230727113305_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Omb,Om,h,Omega_b,Omega_c,wr,Omega_r,Omega_L,theta.1,theta.2,theta.3,theta.4,theta.5,g1,g2,zstar,z0,v0.1,sol_v.1.1,v,g,la,R,wb,x.1,x.2,x.3
# Adaptation terminated
# Step size = 0.0297157
# Diagonal elements of inverse mass matrix:
# 8.41604e-05, 2.47539e-05, 7.14333e-05
2.77388,0.996873,0.0297157,3,7,0,-1.13706,68.3552,0.0475545,0.300409,0.683552,0.0475545,0.252855,4.15e-05,8.88187e-05,0.699502,0.683552,0.0475545,0.252855,8.88187e-05,0.699502,0.0612452,0.548228,1091.9,0,0,3.17704,3.17704,0.0330975,301.563,1.74132,0.0222195,-0.00738402,0.000621974,-6.04716e-05
3.03782,0.977008,0.0297157,6,101,0,-2.12302,68.9386,0.0468742,0.292205,0.689386,0.0468742,0.245331,4.15e-05,8.7322e-05,0.707707,0.689386,0.0468742,0.245331,8.7322e-05,0.707707,0.0611248,0.548174,1091.68,0,0,3.21243,3.21243,0.0334637,301.585,1.73651,0.0222771,0.0153594,-0.00418621,-2.89882e-06
2.92252,0.983278,0.0297157,6,79,0,-1.5078,68.4636,0.0476191,0.299271,0.684636,0.0476191,0.251651,4.15e-05,8.85378e-05,0.700641,0.684636,0.0476191,0.251651,8.85378e-05,0.700641,0.0610348,0.548134,1091.74,0,0,3.18188,3.18188,0.0331438,301.6,1.74067,0.0223203,0.030428,-3.27969e-05,4.03454e-05
2.07427,0.672429,0.0297157,5,43,0,0.592038,68.5553,0.0470696,0.296596,0.685553,0.0470696,0.249527,4.15e-05,8.8301e-05,0.703315,0.685553,0.0470696,0.249527,8.8301e-05,0.703315,0.0614503,0.54832,1091.95,0,0,3.1933,3.1933,0.0332638,301.591,1.73909,0.0221219,0.0210525,-0.00160687,-0.000158067
1.53336,0.964978,0.0297157,2,3,0,-1.31682,68.5456,0.0471179,0.296342,0.685456,0.0471179,0.249224,4.15e-05,8.83261e-05,0.70357,0.685456,0.0471179,0.249224,8.83261e-05,0.70357,0.0614157,0.548305,1091.92,0,0,3.19439,3.19439,0.0332668,301.666,1.73894,0.0221384,0.0962235,-0.00176345,-0.000141645
3.09795,1,0.0297157,3,7,0,-1.37203,68.6308,0.0472148,0.296585,0.686308,0.0472148,0.24937,4.15e-05,8.81068e-05,0.703327,0.686308,0.0472148,0.24937,8.81068e-05,0.703327,0.0612043,0.54821,1091.81,0,0,3.19338,3.19338,0.0332688,301.553,1.7391,0.0222391,-0.0173827,-0.00159958,-4.09259e-05
2.63769,0.994842,0.0297157,6,95,0,-1.70941,68.8815,0.0473794,0.294994,0.688815,0.0473794,0.247614,4.15e-05,8.74667e-05,0.704919,0.688815,0.0473794,0.247614,8.74667e-05,0.704919,0.0607048,0.547983,1091.49,0,0,3.20031,3.20031,0.0333465,301.502,1.73819,0.0224799,-0.0677201,-0.00250816,0.000199936
3.13742,0.998984,0.0297157,4,15,0,-2.3925,68.7762,0.047049,0.294463,0.687762,0.047049,0.247414,4.15e-05,8.77348e-05,0.705449,0.687762,0.047049,0.247414,8.77348e-05,0.705449,0.0611711,0.548195,1091.75,0,0,3.20256,3.20256,0.0333623,301.572,1.73785,0.0222549,0.00226926,-0.00284813,-2.50512e-05
2.5893,0.865951,0.0297157,4,31,0,-0.95831,68.6985,0.0472224,0.295277,0.686985,0.0472224,0.248055,4.15e-05,8.79334e-05,0.704635,0.686985,0.0472224,0.248055,8.79334e-05,0.704635,0.0611051,0.548165,1091.71,0,0,3.19902,3.19902,0.0333168,301.65,1.73833,0.0222865,0.0799305,-0.00237456,6.54923e-06
0.573267,0.764011,0.0297157,6,99,0,0.865017,69.6499,0.0466996,0.284836,0.696499,0.0466996,0.238136,4.15e-05,8.55475e-05,0.715079,0.696499,0.0466996,0.238136,8.55475e-05,0.715079,0.0603482,0.547817,1091.09,0,0,3.24545,3.24545,0.0338077,301.584,1.7321,0.0226545,0.0141921,-0.00860393,0.000374479
