# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bao_model
# start_datetime = 2023-07-25 13:30:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model3/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpk2mlqffo/go02ozrp.json
# random
#   seed = 89813
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output3/bao/bao-20230725143046.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,theta.1,theta.2,lambda,yy0.1,yy0.2,yp0.1,yp0.2,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,S.6.1,S.1.2,S.2.2,S.3.2,S.4.2,S.5.2,S.6.2,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.293347
# Diagonal elements of inverse mass matrix:
# 0.0010928, 0.0179356
-0.159367,1,0.293347,3,7,0,1.44337,78.64,0.36561,78.64,0.36561,0.374268,1,0,0.416384,1,1.17943,1.27057,1.3827,1.4104,1.53767,2.50197,0.296449,0.394536,0.492669,0.514152,0.602457,1.00611,1257.59,1650.53,2028.46,2109,2431.37,3715.62,150,299790
0.479708,0.861077,0.293347,1,3,0,1.8083,77.6989,0.396217,77.6989,0.396217,0.36207,1,0,0.459705,1,1.19658,1.29521,1.41563,1.44525,1.5808,2.59477,0.294371,0.390819,0.486873,0.507847,0.593878,0.984514,1278.91,1673.14,2050.03,2130.1,2449.76,3714.55,150,299790
-0.300665,0.987897,0.293347,3,11,0,1.53015,71.4971,0.277181,71.4971,0.277181,0.407824,1,0,0.299008,1,1.13098,1.19961,1.28604,1.3077,1.40861,2.2129,0.302443,0.405531,0.510261,0.533395,0.629222,1.07889,1262.73,1674.18,2078.34,2165.52,2517.85,3962.12,150,299790
-0.0224817,0.844285,0.293347,3,15,0,2.65774,77.7347,0.342202,77.7347,0.342202,0.383386,1,0,0.384195,1,1.16643,1.25172,1.3573,1.38348,1.50413,2.42866,0.298039,0.397413,0.497206,0.519099,0.609251,1.02375,1252.82,1648.49,2030.95,2112.69,2440.53,3754.6,150,299790
1.21317,0.925621,0.293347,2,3,0,0.857088,76.3814,0.358705,76.3814,0.358705,0.376976,1,0,0.406804,1,1.17559,1.265,1.37522,1.40248,1.52782,2.48056,0.296918,0.395382,0.493998,0.5156,0.60444,1.01121,1272.36,1671.16,2055.28,2137.21,2465.31,3774.66,150,299790
1.10292,0.982705,0.293347,3,11,0,-0.925754,75.7454,0.322681,75.7454,0.322681,0.390857,1,0,0.357971,1,1.15567,1.23602,1.33599,1.36086,1.47581,2.36586,0.299364,0.399833,0.501057,0.523307,0.615075,1.0393,1257.76,1658.64,2047.89,2131.29,2466.47,3817.71,150,299790
1.03312,0.994828,0.293347,2,7,0,-0.846646,76.0854,0.326784,76.0854,0.326784,0.389297,1,0,0.363436,1,1.15792,1.23931,1.34048,1.36562,1.48178,2.37919,0.299086,0.399323,0.500243,0.522417,0.613839,1.03596,1257.41,1657.41,2045.42,2128.51,2462.29,3806.2,150,299790
1.16136,0.998856,0.293347,2,7,0,-0.942566,74.8941,0.333681,74.8941,0.333681,0.386662,1,0,0.372678,1,1.16172,1.24486,1.34801,1.37362,1.4918,2.40144,0.298618,0.398467,0.49888,0.520927,0.611776,1.03044,1271.24,1674.33,2064.71,2148.23,2483.52,3830.67,150,299790
1.27613,0.975782,0.293347,3,9,0,-0.743756,76.4401,0.344187,76.4401,0.344187,0.38262,1,0,0.386893,1,1.16753,1.25331,1.35946,1.38577,1.50699,2.43496,0.297904,0.397168,0.496818,0.518676,0.608667,1.02222,1264.31,1663.24,2048.69,2131.04,2461.3,3784.3,150,299790
1.24392,0.996294,0.293347,2,5,0,-1.22341,76.4282,0.341528,76.4282,0.341528,0.383646,1,0,0.38328,1,1.16605,1.25117,1.35656,1.3827,1.50316,2.42652,0.298085,0.397497,0.497338,0.519243,0.60945,1.02428,1262.96,1661.96,2047.7,2130.14,2460.85,3786.62,150,299790
