# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bao_model
# start_datetime = 2023-07-21 15:11:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model3/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmp01ars5w5/z3ukat6_.json
# random
#   seed = 35118
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output3/bao/bao-20230721161121.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,theta.1,theta.2,lambda,yy0.1,yy0.2,yp0.1,yp0.2,S.1.1,S.2.1,S.3.1,S.4.1,S.5.1,S.6.1,S.1.2,S.2.2,S.3.2,S.4.2,S.5.2,S.6.2,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.318335
# Diagonal elements of inverse mass matrix:
# 0.00104139, 0.018858
0.407488,0.855272,0.318335,2,7,0,0.276846,77.2591,0.338284,77.2591,0.338284,0.384895,1,0,0.378886,1,1.16426,1.24856,1.35303,1.37895,1.49847,2.41618,0.298305,0.397898,0.497974,0.519938,0.610408,1.02681,1254.47,1651.39,2035.39,2117.5,2446.95,3768.93,150,299790
-0.889199,0.96552,0.318335,4,15,0,1.47909,78.3799,0.43356,78.3799,0.43356,0.346739,1,0,0.514462,1,1.21767,1.32519,1.45531,1.48716,1.6323,2.70376,0.291844,0.386362,0.480014,0.500407,0.583864,0.960168,1287.85,1678.59,2049.74,2128.32,2441.22,3670.68,150,299790
-2.45447,0.99977,0.318335,2,3,0,2.71707,80.9316,0.451221,80.9316,0.451221,0.339306,1,0,0.541088,1,1.22768,1.33931,1.47386,1.50673,1.65622,2.75382,0.290654,0.384287,0.476853,0.496984,0.579295,0.949339,1273.6,1657.25,2020.64,2097.46,2403.05,3600.35,150,299790
-1.50397,0.818181,0.318335,1,3,0,4.94087,78.6921,0.448058,78.6921,0.448058,0.340646,1,0,0.536285,1,1.22589,1.33678,1.47055,1.50324,1.65196,2.74492,0.290867,0.384657,0.477415,0.497593,0.580106,0.951248,1290.3,1679.48,2048.28,2126.27,2436.54,3652.82,150,299790
0.404139,0.903602,0.318335,3,7,0,2.46608,78.4587,0.39399,78.4587,0.39399,0.362968,1,0,0.456506,1,1.19533,1.29342,1.41325,1.44273,1.57769,2.58813,0.294522,0.391088,0.487289,0.508299,0.594491,0.986033,1271.85,1664.28,2039.62,2119.37,2437.83,3698.44,150,299790
0.76139,0.969754,0.318335,3,7,0,0.0630391,76.8651,0.380266,76.8651,0.380266,0.368467,1,0,0.436953,1,1.18763,1.28237,1.39851,1.42715,1.55843,2.54682,0.295453,0.39275,0.489874,0.511109,0.598306,0.995571,1278.73,1675.66,2056.31,2137.3,2461.07,3746.5,150,299790
1.18762,1,0.318335,2,3,0,-0.778686,76.9184,0.36122,76.9184,0.36122,0.375992,1,0,0.410285,1,1.17699,1.26703,1.37795,1.40537,1.53141,2.48838,0.296747,0.395074,0.493513,0.515072,0.603715,1.00934,1269.23,1666.6,2049.13,2130.7,2457.28,3759.73,150,299790
1.21095,0.803129,0.318335,3,11,0,0.960698,74.4369,0.3156,74.4369,0.3156,0.393538,1,0,0.348596,1,1.15179,1.23033,1.32824,1.35262,1.46545,2.34268,0.299845,0.400715,0.502469,0.524852,0.617224,1.04514,1264.26,1668.58,2061.82,2146.16,2485.37,3856.01,150,299790
0.728157,0.97337,0.318335,3,11,0,1.17436,73.1562,0.299048,73.1562,0.299048,0.399745,1,0,0.326971,1,1.14277,1.21706,1.31008,1.33331,1.4411,2.28762,0.300966,0.402784,0.505799,0.528499,0.622323,1.05924,1264.27,1671.83,2069.86,2155.42,2500.25,3901.62,150,299790
0.522659,0.947164,0.318335,1,1,0,-0.514389,72.9776,0.301834,72.9776,0.301834,0.398707,1,0,0.330583,1,1.14428,1.21929,1.31314,1.33657,1.44521,2.29698,0.300777,0.402435,0.505236,0.527881,0.621457,1.05682,1267.68,1675.79,2074.08,2159.66,2504.45,3904.25,150,299790
