# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bao_model
# start_datetime = 2023-07-19 14:13:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model2/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpnxt5f_9e/a1eegjcz.json
# random
#   seed = 46926
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output2/bao/bao-20230719151303.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.506394
# Diagonal elements of inverse mass matrix:
# 0.0109299, 67.1384, 24.17
-10408.3,0.81662,0.506394,2,6,1,10408.3,0.243927,83.6259,11.9223,0.243927,83.6259,11.9223,0.0974243,0.118307,0.138994,0.143571,0.162782,0.268615,150,299790
-10406.5,0.941714,0.506394,3,7,0,10410.8,0.333441,72.1734,6.7124,0.333441,72.1734,6.7124,0.115958,0.141393,0.166591,0.172165,0.195555,0.324221,150,299790
-10409.4,0.902843,0.506394,3,7,0,10411.9,0.306502,53.3789,17.3274,0.306502,53.3789,17.3274,0.0937942,0.113633,0.133288,0.137637,0.155898,0.256589,150,299790
-10409.4,0.830658,0.506394,2,6,1,10411.4,0.356115,66.0804,23.469,0.356115,66.0804,23.469,0.103186,0.124804,0.146225,0.150966,0.170874,0.280731,150,299790
-10409.8,0.951151,0.506394,3,7,0,10411.4,0.493203,74.9829,19.1258,0.493203,74.9829,19.1258,0.128608,0.155716,0.182573,0.188517,0.213471,0.351112,150,299790
-10407.4,0.992989,0.506394,3,7,0,10410.4,0.216421,68.2144,9.5135,0.216421,68.2144,9.5135,0.0890452,0.108302,0.127378,0.131598,0.14931,0.246822,150,299790
-10407,0.97818,0.506394,2,3,0,10407.9,0.235765,66.9819,7.30901,0.235765,66.9819,7.30901,0.0948162,0.115546,0.136084,0.140627,0.159692,0.264581,150,299790
-10407.4,0.780575,0.506394,2,5,1,10408.4,0.39116,63.8164,10.9039,0.39116,63.8164,10.9039,0.11653,0.141583,0.166398,0.171889,0.194932,0.321856,150,299790
-10408.2,0.971256,0.506394,3,7,0,10409.2,0.35742,87.9735,8.52602,0.35742,87.9735,8.52602,0.123641,0.150485,0.177077,0.182959,0.207646,0.343532,150,299790
-10406.8,0.999522,0.506394,3,7,0,10408.6,0.402967,70.4396,6.64532,0.402967,70.4396,6.64532,0.126902,0.154739,0.182316,0.188417,0.214016,0.354833,150,299790
-10406.9,0.961701,0.506394,2,7,0,10408,0.237626,64.7399,4.57533,0.237626,64.7399,4.57533,0.0979965,0.119883,0.141579,0.146378,0.166517,0.277177,150,299790
-10407.7,0.911369,0.506394,2,3,0,10408.5,0.16139,66.3193,2.46462,0.16139,66.3193,2.46462,0.0843193,0.103756,0.123064,0.127338,0.145272,0.243697,150,299790
-10407.5,0.999813,0.506394,3,7,0,10407.9,0.478504,75.6284,3.55423,0.478504,75.6284,3.55423,0.14751,0.18078,0.213771,0.221069,0.251694,0.419932,150,299790
-10410.4,0.871034,0.506394,2,7,0,10412.8,0.569939,54.5934,1.92254,0.569939,54.5934,1.92254,0.153062,0.188526,0.223767,0.231569,0.264311,0.444107,150,299790
-10409.7,0.5,0.506394,1,2,1,10411.2,0.516229,51.2804,0.266767,0.516229,51.2804,0.266767,0.148058,0.184168,0.220487,0.228572,0.262642,0.451607,150,299790
-10406.3,0.75,0.506394,2,4,1,10410.1,0.371291,64.7107,0.868061,0.371291,64.7107,0.868061,0.132106,0.163872,0.195639,0.202689,0.232318,0.395247,150,299790
-10406.3,0,0.506394,0,1,1,10409.7,0.371291,64.7107,0.868061,0.371291,64.7107,0.868061,0.132106,0.163872,0.195639,0.202689,0.232318,0.395247,150,299790
-10406.3,0,0.506394,0,1,1,10409.1,0.371291,64.7107,0.868061,0.371291,64.7107,0.868061,0.132106,0.163872,0.195639,0.202689,0.232318,0.395247,150,299790
-10406.3,0,0.506394,0,1,1,10410,0.371291,64.7107,0.868061,0.371291,64.7107,0.868061,0.132106,0.163872,0.195639,0.202689,0.232318,0.395247,150,299790
-10406.3,0,0.506394,0,1,1,10407,0.371291,64.7107,0.868061,0.371291,64.7107,0.868061,0.132106,0.163872,0.195639,0.202689,0.232318,0.395247,150,299790
-10406.3,0,0.506394,0,1,1,10407.8,0.371291,64.7107,0.868061,0.371291,64.7107,0.868061,0.132106,0.163872,0.195639,0.202689,0.232318,0.395247,150,299790
-10407.1,0.995113,0.506394,3,7,0,10407.3,0.275371,76.3594,9.75927,0.275371,76.3594,9.75927,0.103244,0.125544,0.147635,0.152521,0.173032,0.285966,150,299790
