# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = bao_model
# start_datetime = 2023-07-19 14:18:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Model2/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmprxp6705z/2zmdpp1c.json
# random
#   seed = 8536
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/output2/bao/bao-20230719151849.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Om,H0,zeta,theta.1,theta.2,theta.3,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c
# Adaptation terminated
# Step size = 0.166016
# Diagonal elements of inverse mass matrix:
# 0.00853777, 101.056, 50.4259
-10408.7,0.75,0.166016,2,4,1,10409.1,0.533251,80.2775,2.18821,0.533251,80.2775,2.18821,0.162342,0.199763,0.23693,0.245156,0.279679,0.469242,150,299790
-10408.7,0.5,0.166016,1,2,1,10409.4,0.531589,81.011,0.913127,0.531589,81.011,0.913127,0.167102,0.207,0.246835,0.25567,0.292789,0.496901,150,299790
-10408.3,0.959724,0.166016,4,25,1,10410.2,0.195389,66.8959,13.6793,0.195389,66.8959,13.6793,0.0811269,0.0984309,0.115573,0.119366,0.135288,0.223028,150,299790
-10406.9,0.99651,0.166016,3,11,0,10409.7,0.26414,69.1087,8.87516,0.26414,69.1087,8.87516,0.0994579,0.121024,0.142387,0.147113,0.166947,0.276126,150,299790
-10409.6,0.99161,0.166016,4,15,0,10410.7,0.171776,67.6735,19.6194,0.171776,67.6735,19.6194,0.0732738,0.0887134,0.104011,0.107397,0.121611,0.200013,150,299790
-10406.6,0.998802,0.166016,4,15,0,10410.6,0.312238,76.5093,5.54996,0.312238,76.5093,5.54996,0.115631,0.141212,0.166561,0.172168,0.195697,0.325058,150,299790
-10407.2,0.990397,0.166016,3,13,0,10411.2,0.360818,65.9633,11.9797,0.360818,65.9633,11.9797,0.111761,0.135705,0.159424,0.164672,0.186699,0.30805,150,299790
-10408.6,0.994319,0.166016,4,15,0,10409.2,0.231492,56.0591,11.9851,0.231492,56.0591,11.9851,0.0856855,0.104049,0.122241,0.126265,0.143159,0.236226,150,299790
-10408.3,0.947321,0.166016,4,19,1,10409.9,0.308487,55.9039,12.8056,0.308487,55.9039,12.8056,0.0983383,0.119358,0.14018,0.144787,0.164126,0.270681,150,299790
-10408.4,0.922386,0.166016,3,13,1,10410.1,0.40109,65.5522,17.3782,0.40109,65.5522,17.3782,0.113169,0.137099,0.160808,0.166054,0.18808,0.309541,150,299790
-10408.5,0.999485,0.166016,4,15,0,10408.8,0.418129,63.5432,16.8,0.418129,63.5432,16.8,0.115093,0.139457,0.163594,0.168935,0.191359,0.315002,150,299790
-10408.7,0.998742,0.166016,3,7,0,10409,0.409356,60.3195,16.8167,0.409356,60.3195,16.8167,0.112361,0.136145,0.15971,0.164924,0.186815,0.307521,150,299790
-10408.3,0.999973,0.166016,4,15,0,10409.2,0.447277,63.5008,13.7088,0.447277,63.5008,13.7088,0.121677,0.147613,0.173306,0.17899,0.202853,0.334369,150,299790
-10407.5,0.923077,0.166016,3,13,1,10408.8,0.40921,70.6107,12.5609,0.40921,70.6107,12.5609,0.120589,0.146376,0.17192,0.177572,0.201296,0.332011,150,299790
-10406.6,0.999986,0.166016,4,15,0,10407.6,0.319639,67.6993,7.76959,0.319639,67.6993,7.76959,0.110275,0.134313,0.158126,0.163393,0.1855,0.307148,150,299790
-10406.6,0.951865,0.166016,4,21,1,10406.9,0.287427,74.8824,5.91257,0.287427,74.8824,5.91257,0.109743,0.133955,0.157946,0.163253,0.185522,0.307975,150,299790
-10408.3,0.897884,0.166016,3,10,1,10408.8,0.247356,65.0057,16.6984,0.247356,65.0057,16.6984,0.0888239,0.107637,0.126275,0.130399,0.147714,0.243182,150,299790
-10408,0.928511,0.166016,3,14,1,10408.4,0.234936,64.4455,14.288,0.234936,64.4455,14.288,0.0878154,0.106515,0.12504,0.129139,0.146346,0.241181,150,299790
-10407.6,0.947368,0.166016,4,19,1,10408.6,0.342078,72.6787,15.3693,0.342078,72.6787,15.3693,0.108632,0.131701,0.154555,0.159612,0.18084,0.297868,150,299790
-10406.8,0.899209,0.166016,3,10,1,10408.9,0.319497,69.7214,9.44766,0.319497,69.7214,9.44766,0.109096,0.132688,0.156057,0.161227,0.182924,0.302383,150,299790
