# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = BAO_model
# start_datetime = 2023-07-22 20:59:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = Meu_Codigo_Normal_Model/Baryonic_Acoustic_Oscilators/Data/bao.json
# init = /var/folders/tg/1rvyy6v13kq9w3s_hnykjpmc0000gp/T/tmpv_ravs6o/g5_4s2h_.json
# random
#   seed = 19058
# output
#   file = /Users/guilhermegarcia/Desktop/IASTRO_Estagio/normal/bao/BAO-20230722215942.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,theta.1,theta.2,dv_theo.1,dv_theo.2,dv_theo.3,dv_theo.4,dv_theo.5,dv_theo.6,rf,c,dL.1,dL.2,dL.3,dL.4,dL.5,dL.6
3.69885,0.961976,0.00267065,3,15,0,0.540229,68.2016,0.282491,68.2016,0.282491,1269.32,1673.28,2068.22,2153.36,2497.92,3935.8,150,299790,nan,nan,nan,nan,nan,nan
4.06157,0.991175,0.0038665,3,11,0,-3.44424,68.9435,0.290736,68.9435,0.290736,1268.53,1670.77,2063.33,2147.87,2489.68,3911.39,150,299790,nan,nan,nan,nan,nan,nan
3.43386,0.177363,0.00591435,3,15,0,-1.81729,70.4028,0.284732,70.4028,0.284732,1251.22,1649.03,2037.76,2121.54,2460.5,3873.73,150,299790,nan,nan,nan,nan,nan,nan
4.16463,0.995387,0.00175859,3,15,0,-2.92377,70.4831,0.296404,70.4831,0.296404,1258.72,1656.86,2044.96,2128.48,2465.97,3866.59,150,299790,nan,nan,nan,nan,nan,nan
4.42676,0.999806,0.00271092,4,27,0,-4.04178,70.6664,0.316558,70.6664,0.316558,1270.33,1668.69,2055.42,2138.44,2473.23,3852.49,150,299790,nan,nan,nan,nan,nan,nan
3.22055,0.779207,0.0041973,2,7,0,-2.98674,70.3712,0.335498,70.3712,0.335498,1284.43,1684.06,2070.61,2153.42,2486.75,3851.3,150,299790,nan,nan,nan,nan,nan,nan
3.30306,0.938589,0.00418223,3,11,0,-2.7079,71.3166,0.296294,71.3166,0.296294,1251.37,1647.21,2033.07,2116.11,2451.66,3844.29,150,299790,nan,nan,nan,nan,nan,nan
4.35414,0.239984,0.00570231,2,5,0,-2.29017,70.1441,0.309071,70.1441,0.309071,1270.18,1669.77,2058.26,2141.73,2478.6,3870.09,150,299790,nan,nan,nan,nan,nan,nan
4.29753,0.977084,0.00197204,3,7,0,-3.76893,69.967,0.307543,69.967,0.307543,1270.77,1670.8,2059.84,2143.45,2480.91,3875.62,150,299790,nan,nan,nan,nan,nan,nan
3.35423,0.999667,0.00289925,4,31,0,-2.60757,67.3684,0.256753,67.3684,0.256753,1256.73,1661.38,2059.31,2145.39,2494.81,3969.56,150,299790,nan,nan,nan,nan,nan,nan
3.58589,0.990731,0.00443668,2,7,0,-2.96899,67.6675,0.269783,67.6675,0.269783,1264.54,1669.28,2066.11,2151.79,2499.08,3956.17,150,299790,nan,nan,nan,nan,nan,nan
3.58589,0.0709689,0.00664597,3,9,0,-2.64335,67.6675,0.269783,67.6675,0.269783,1264.54,1669.28,2066.11,2151.79,2499.08,3956.17,150,299790,nan,nan,nan,nan,nan,nan
4.1174,0.999905,0.00169115,5,47,0,-2.25543,73.042,0.356045,73.042,0.356045,1272.37,1664.98,2043.31,2124.19,2449.14,3771.08,150,299790,nan,nan,nan,nan,nan,nan
4.43114,0.940798,0.00257919,4,23,0,-2.49575,70.9212,0.311027,70.9212,0.311027,1264.56,1662.05,2048.35,2131.33,2466.16,3848.23,150,299790,nan,nan,nan,nan,nan,nan
3.7273,0.914744,0.00350061,3,15,0,-3.34708,72.8183,0.329427,72.8183,0.329427,1259.44,1652.28,2032.69,2114.24,2442.68,3789.87,150,299790,nan,nan,nan,nan,nan,nan
3.61688,0.643203,0.00450907,3,9,0,-1.79482,73.876,0.380548,73.876,0.380548,1277.56,1668.03,2042.72,2122.62,2443.03,3737.6,150,299790,nan,nan,nan,nan,nan,nan
3.7843,0.999965,0.00346919,3,7,0,-3.58324,73.6932,0.373196,73.6932,0.373196,1275.55,1666.51,2042.13,2122.28,2443.9,3745.94,150,299790,nan,nan,nan,nan,nan,nan
3.18684,0.978896,0.00523243,2,7,0,-2.50844,74.7976,0.3861,74.7976,0.3861,1272.4,1660.46,2032.5,2111.8,2429.64,3711.99,150,299790,nan,nan,nan,nan,nan,nan
3.86362,0.311334,0.00755848,2,7,0,-2.87052,73.484,0.35191,73.484,0.35191,1266.39,1657.8,2035.26,2115.98,2440.43,3761.94,150,299790,nan,nan,nan,nan,nan,nan
4.16344,0.997486,0.00313459,3,15,0,-2.81926,72.3173,0.351821,72.3173,0.351821,1276.37,1670.89,2051.34,2132.7,2459.73,3791.78,150,299790,nan,nan,nan,nan,nan,nan
4.17913,0.943179,0.00468133,3,15,0,-3.48914,71.2677,0.336206,71.2677,0.336206,1276.85,1674.01,2058.11,2140.39,2471.56,3827,150,299790,nan,nan,nan,nan,nan,nan
3.35676,0.481114,0.00630116,1,3,0,-3.25881,71.298,0.296589,71.298,0.296589,1251.73,1647.63,2033.54,2116.58,2452.13,3844.66,150,299790,nan,nan,nan,nan,nan,nan
