lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,H0,Om,theta.1,theta.2,H_theo.1,H_theo.2,H_theo.3,H_theo.4,H_theo.5,H_theo.6,H_theo.7,H_theo.8,H_theo.9,H_theo.10,H_theo.11,H_theo.12,H_theo.13,H_theo.14,H_theo.15,H_theo.16,H_theo.17,H_theo.18,H_theo.19,H_theo.20,H_theo.21,H_theo.22,H_theo.23,H_theo.24,H_theo.25,H_theo.26,H_theo.27,H_theo.28,H_theo.29,H_theo.30,H_theo.31,H_theo.32,A
# Adaptation terminated
# Step size = 0.448492
# Diagonal elements of inverse mass matrix:
# 0.00082284, 0.0130433
-12.4977,0.930956,0.448492,1,1,0,12.5907,68.6109,0.284256,68.6109,0.284256,70.7714,71.43,72.452,74.2461,74.581,75.3381,75.3764,78.1685,78.5848,81.7084,82.982,83.9115,83.9303,85.0963,86.0623,87.2921,87.7059,87.7909,93.6945,98.5607,102.669,104.541,110.408,110.728,112.016,121.159,140.179,145,150.233,158.238,176.63,195.573,15.4558
-13.1852,0.888046,0.448492,3,11,0,14.46,67.3862,0.370849,67.3862,0.370849,70.1417,70.9769,72.2688,74.5252,74.9448,75.8918,75.9397,79.4126,79.928,83.777,85.3378,86.4741,86.497,87.919,89.0945,90.5877,91.0892,91.1923,98.3076,104.124,109.005,111.221,118.141,118.518,120.031,130.73,152.794,158.355,164.378,173.574,194.624,216.221,16.1527
-12.2069,0.99715,0.448492,2,7,0,15.3187,68.7868,0.286575,68.7868,0.286575,70.9702,71.6357,72.6684,74.4808,74.8191,75.5838,75.6225,78.4423,78.8627,82.0164,83.302,84.2403,84.2592,85.4361,86.411,87.6522,88.0697,88.1556,94.1122,99.0209,103.164,105.052,110.968,111.291,112.589,121.806,140.974,145.832,151.103,159.168,177.695,196.774,15.1791
-12.4007,0.943253,0.448492,1,1,0,12.5241,68.5534,0.286419,68.5534,0.286419,70.7282,71.3911,72.4197,74.2251,74.562,75.3238,75.3624,78.1712,78.59,81.7315,83.0122,83.9468,83.9657,85.1381,86.1093,87.3457,87.7616,87.8471,93.781,98.671,102.798,104.679,110.573,110.894,112.188,121.37,140.467,145.306,150.558,158.593,177.051,196.06,15.3688
-12.0617,0.996571,0.448492,2,7,0,12.3749,69.5093,0.315419,69.5093,0.315419,71.9339,72.6715,73.8148,75.818,76.1914,77.0351,77.0777,80.1825,80.6446,84.1057,85.514,86.5409,86.5616,87.8485,88.9138,90.2689,90.7245,90.8181,97.3044,102.633,107.122,109.164,115.556,115.904,117.305,127.234,147.816,153.021,158.665,167.293,187.086,207.439,15.1374
-11.7833,0.896491,0.448492,2,7,0,14.899,67.1465,0.323377,67.1465,0.323377,69.5469,70.2766,71.4075,73.388,73.7571,74.5907,74.6329,77.6994,78.1556,81.5711,82.9601,83.9726,83.993,85.2618,86.3117,87.6471,88.096,88.1883,94.5757,99.8195,104.233,106.241,112.523,112.865,114.241,123.992,144.188,149.292,154.827,163.284,182.681,202.62,14.8339
-11.7075,0.913319,0.448492,2,3,0,12.4804,67.7058,0.313768,67.7058,0.313768,70.0554,70.7702,71.8783,73.82,74.182,74.9998,75.0412,78.0513,78.4993,81.8556,83.2213,84.2172,84.2373,85.4855,86.5187,87.833,88.275,88.3658,94.6582,99.8288,104.184,106.166,112.37,112.708,114.067,123.705,143.687,148.741,154.222,162.599,181.82,201.587,14.7541
-11.7097,0.995809,0.448492,2,7,0,12.1339,67.1213,0.345517,67.1213,0.345517,69.682,70.4594,71.6631,73.7684,74.1603,75.0453,75.09,78.3405,78.8236,82.4355,83.9024,84.971,84.9925,86.3308,87.4376,88.8446,89.3173,89.4145,96.1319,101.635,106.26,108.363,114.934,115.291,116.729,126.909,147.947,153.257,159.012,167.802,187.942,208.625,14.7499
-11.6888,1,0.448492,3,7,0,11.7212,66.8646,0.33949,66.8646,0.33949,69.3718,70.1333,71.3126,73.3759,73.7601,74.6277,74.6716,77.8597,78.3336,81.8785,83.3186,84.368,84.3891,85.7034,86.7906,88.1728,88.6373,88.7328,95.3352,100.747,105.298,107.367,113.834,114.186,115.602,125.627,146.357,151.591,157.264,165.931,185.793,206.195,14.7331
-11.6831,0.973956,0.448492,2,7,0,12.6613,69.0538,0.314222,69.0538,0.314222,71.4536,72.1837,73.3154,75.2984,75.6681,76.5033,76.5455,79.6195,80.0771,83.5044,84.899,85.9159,85.9364,87.2109,88.2659,89.6081,90.0593,90.1521,96.5769,101.856,106.303,108.326,114.66,115.005,116.393,126.232,146.63,151.789,157.384,165.936,185.556,205.733,14.7502
-12.1096,0.952604,0.448492,2,7,0,12.9948,66.4325,0.331996,66.4325,0.331996,68.8695,69.61,70.7572,72.7651,73.1391,73.9839,74.0266,77.1321,77.5939,81.0497,82.4543,83.478,83.4986,84.781,85.8421,87.1912,87.6447,87.7379,94.1865,99.4761,103.926,105.95,112.278,112.622,114.008,123.824,144.136,149.266,154.829,163.327,182.81,202.829,15.1519
